Waupun,573,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66854
Wautoma,381,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66855
West Salem,607,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66856
Westby,305,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66857
Westfield,295,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66858
Whitewater,606,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66859
Winneconne,551,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66860
Wisconsin Dells,596,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66861
Wrightstown,402,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66862
Xavier,468,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66863
Abbotsford,244,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66864
Algoma,219,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66865
Aquinas,307,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66866
Athens,127,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66867
Auburndale,229,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66868
Belleville,279,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66869
Bonduel,262,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66870
Boscobel,212,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66871
Boyceville,212,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66872
Brookwood,175,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66873
Cadott,260,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66874
Cambridge,266,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66875
Cameron,284,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66876
Chequamegon,241,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66877
Chetek-Weyerhaeuser,247,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66878
Colby,309,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66880
Coleman,229,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66881
Colfax,224,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66882
Crandon,239,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66883
Crivitz,215,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66884
Cuba City,273,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66885
