Team,WP,OWP,DOWP,OOWP,DOOWP,Division,Sectional,Seed,Year
La Crosse Central,0.43478,0.57179,0.57179,0.52645,0.52798,2,1A,4,2023
La Crosse Logan,0.36364,0.53883,0.54082,0.54026,0.5446,2,1A,9,2023
La Farge/Youth Initiative,0.57143,0.40503,0.39748,0.47039,0.46603,5,3B,7,2023
Lac Courte Oreilles,0.0,0.56015,0.56735,0.47583,0.47206,5,1A,15,2023
Laconia,0.85714,0.59767,0.57692,0.55546,0.56389,4,4A,1,2023
Ladysmith,0.65,0.50716,0.48148,0.5017,0.50116,4,1A,5,2023
Lake Country Lutheran,0.71429,0.57732,0.5679,0.53428,0.53211,3,3B,3,2023
Lake Holcombe,0.55556,0.43206,0.42041,0.49978,0.50223,5,1B,9,2023
Lake Mills,0.90476,0.60959,0.61675,0.56184,0.56813,3,3B,1,2023
Lakeland,0.72727,0.53187,0.52446,0.52744,0.53541,2,1B,2,2023
Lakeside Lutheran,0.6087,0.58239,0.5772,0.54674,0.55412,3,3B,4,2023
Lancaster,0.54545,0.51282,0.49612,0.53699,0.53111,4,3A,5,2023
Lena,0.85714,0.47152,0.43729,0.49584,0.49781,5,2B,3,2023
Little Chute,0.15789,0.46154,0.45679,0.50505,0.49987,3,2A,10,2023
Living Word Lutheran,0.72727,0.45845,0.44985,0.48311,0.47989,4,4B,2,2023
Lodi,0.26087,0.54649,0.54545,0.53722,0.5336,3,3A,11,2023
Lomira,0.40909,0.52356,0.5,0.50287,0.49804,3,2B,8,2023
Lourdes Acad.,0.85714,0.51378,0.507,0.50977,0.51565,5,4B,1,2023
Loyal,0.5,0.51479,0.51411,0.52267,0.52427,5,3A,9,2023
Luck,0.04762,0.56597,0.56597,0.48313,0.48313,5,1A,14,2023
Luther,0.40909,0.4976,0.5,0.5132,0.51693,4,3A,9,2023
Luxemburg-Casco,0.5,0.48011,0.44805,0.51699,0.52011,2,2A,6,2023
Madison East,0.38095,0.53618,0.53381,0.51774,0.51413,1,3A,11,2023
Madison La Follette,0.6,0.51254,0.52529,0.51442,0.5132,1,3A,7,2023
Madison Memorial,0.31818,0.49495,0.49495,0.52475,0.52703,1,3A,14,2023
Madison West,0.05,0.49315,0.48016,0.48893,0.48183,1,3A,18,2023
Manawa,0.31818,0.5198,0.53687,0.49359,0.49304,4,2A,7,2023
Manitowoc Lincoln,0.40909,0.47458,0.42581,0.51658,0.5179,1,2A,15,2023
Manitowoc Lutheran,0.59091,0.51724,0.48509,0.53218,0.5227,4,4A,7,2023
Marathon,0.5,0.5375,0.57263,0.53099,0.53277,4,2A,5,2023
Marinette,0.65217,0.49853,0.49216,0.50881,0.50861,2,2A,4,2023
Marion,0.09091,0.3925,0.37037,0.46239,0.45718,5,4B,15,2023
Markesan,0.47826,0.48907,0.48907,0.51413,0.51413,4,4A,11,2023
Marshall,0.47826,0.59658,0.59658,0.54109,0.54109,4,3B,8,2023
Marshfield,0.78261,0.55378,0.53571,0.53966,0.53771,1,1A,6,2023
Martin Luther,0.68182,0.62935,0.61765,0.53881,0.54127,2,4B,2,2023
Mauston,0.42857,0.41476,0.42588,0.48549,0.49085,3,1B,5,2023
Mayville,0.15,0.52647,0.52647,0.52155,0.52303,3,3B,12,2023
McDonell Catholic,0.81818,0.57616,0.54908,0.54507,0.55261,5,1B,2,2023
McFarland,0.90909,0.55586,0.51084,0.53951,0.53788,2,3A,2,2023
Medford,0.28571,0.45855,0.4564,0.50516,0.50234,2,1B,9,2023
Mellen,0.66667,0.48127,0.47712,0.49605,0.49606,5,1A,6,2023
Melrose-Mindoro,0.47826,0.48804,0.5,0.49961,0.50034,4,3A,7,2023
